主体性,共有性,卓越型,努力型,职业领域特质,私人领域特质
独立,温柔,天才,勤奋,专家,家庭
果断,体贴,卓越,刻苦,榜样,照顾
决策,合作,杰出,认真,资深,育儿
掌控,亲和,顶尖,踏实,业内,生活
领导,随和,优秀,尽责,精英,母亲
统筹,协作,拔尖,可靠,晋升,女儿
魄力,关怀,非凡,勤勉,提拔,家务
干练,耐心,无与伦比,辛勤,仕途,私人
担当,周到,出类拔萃,投入,职级,善良
积极,谦逊,造诣,奉献,履历,美丽
主动,善解人意,深厚,持之以恒,口碑,文静
自信,热忱,领军,细心,职业化,恬静
坚定,融洽,独树一帜,负责,标杆,平衡
雷厉风行,体恤,天赋,稳重,核心,重心
独当一面,和蔼,天生才华,任劳任怨,权威,操持
果敢,圆满,睿智,执行,任职,日常
主导,支持,极高,稳扎稳打,绩效,陪伴
挑战,沟通,突出,扎实,管理,婚姻
领导力,亲和力,过人,质量,行业,丈夫
进取,友善,成就,执行力,业务,妻子
目标,融入,出色,耐力,素养,父母
竞争力,配合,传奇,高效,技能,儿子
创新,沟通,最佳,坚韧,知识,父亲
敏锐,热情,辉煌,效率,经验,养育
战略,乐于助人,优异,,标准,孩子
勇敢,同情,,,学术,
,理解,,,专业,
