word,label
挑战,Agentic
扎实,Effort
绩效,Professional Traits
领导力,Agentic
婚姻,Private Traits
质量,Effort
进取,Agentic
丈夫,Private Traits
妻子,Private Traits
成就,Excellence
管理,Professional Traits
执行力,Effort
目标,Agentic
行业,Professional Traits
父母,Private Traits
业务,Professional Traits
耐力,Effort
热情,Communal
出色,Excellence
素养,Professional Traits
竞争力,Agentic
儿子,Private Traits
乐于助人,Communal
技能,Professional Traits
高效,Effort
传奇,Excellence
最佳,Excellence
知识,Professional Traits
父亲,Private Traits
创新,Agentic
辉煌,Excellence
经验,Professional Traits
标准,Professional Traits
敏锐,Agentic
坚韧,Effort
效率,Effort
优异,Excellence
养育,Private Traits
战略,Agentic
学术,Professional Traits
同情,Communal
勇敢,Agentic
理解,Communal
孩子,Private Traits
专业,Professional Traits
